Experiment,Treatment,Cricket,Gtime,Gweight,Gsize,DevRate
2,LV,LV.06,19,0.450564972,0.096774194,0.052631579
2,LV,LV.07,13,0.380660377,0.111111111,0.076923077
2,LV,LV.08,15,0.536431311,0.152777778,0.066666667
2,LV,LV.15,14,0.709268005,0.117647059,0.071428571
2,LV,LV.16,16,0.516857721,0.096774194,0.0625
2,LV,LV.26,12,0.626722925,0.147058824,0.083333333
2,LV,LV.27,15,0.845348121,0.1875,0.066666667
2,LV,LV.28,14,0.600208496,0.138888889,0.071428571
2,LV,LV.36,11,0.290273884,0.085714286,0.090909091
2,LV,LV.39,12,0.714950012,0.135135135,0.083333333
2,LV,LV.40,13,0.734269663,0.111111111,0.076923077
2,LV,LV.44,14,0.645628799,0.135135135,0.071428571
2,LV,LV.47,15,0.629104282,0.147058824,0.066666667
2,LV,LV.49,13,0.467463849,0.121212121,0.076923077
2,LV,LV.66,14,0.42366757,0.125,0.071428571
2,LV,LV.68,14,0.593982961,0.138888889,0.071428571
2,LV,LV.71,14,0.195429304,0.290322581,0.071428571
2,LV,LV.72,13,0.382497171,0.152777778,0.076923077
2,LV,LV.74,14,0.656813063,0.147058824,0.071428571
2,LV,LV.76,13,0.257438278,0.142857143,0.076923077
2,S,S.02,13,0.635008518,0.108108108,0.076923077
2,S,S.03,12,0.661651917,0.176470588,0.083333333
2,S,S.04,13,0.249291167,0.114285714,0.076923077
2,S,S.06,13,0.54483188,0.125,0.076923077
2,S,S.12,14,0.647074979,0.147058824,0.071428571
2,S,S.19,13,0.476476738,0.225806452,0.076923077
2,S,S.20,15,0.500539607,0.081081081,0.066666667
2,S,S.33,15,0.655438813,0.121212121,0.066666667
2,S,S.34,13,0.74556701,0.175675676,0.076923077
2,S,S.35,14,0.570807285,0.181818182,0.071428571
2,S,S.37,13,0.481707317,0.135135135,0.076923077
2,S,S.45,15,0.408167722,0.090909091,0.066666667
2,S,S.49,14,0.711246201,0.137254902,0.071428571
2,S,S.51,13,0.521123491,0.111111111,0.076923077
2,S,S.52,13,0.627144608,0.129032258,0.076923077
2,S,S.65,14,0.562689279,0.107692308,0.071428571
2,S,S.67,12,0.633690449,0.150684932,0.083333333
2,S,S.69,14,0.438124306,0.140625,0.071428571
2,S,S.70,14,0.497630332,0.147058824,0.071428571
2,S,S.75,14,0.64596791,0.135135135,0.071428571
1,LV,LVA.02,15,0.602131439,0.147058824,0.066666667
1,LV,LVA.03,14,0.274746976,0.068493151,0.071428571
1,S,SA.02,15,0.264091029,0.088235294,0.066666667
1,S,SA.03,14,0.441708754,0.116883117,0.071428571
1,LV,LVA.04,14,0.559925529,0.171428571,0.071428571
1,S,SA.04,16,0.379440033,0.108108108,0.0625
1,LV,LVA.05,14,0.31120944,0.069444444,0.071428571
1,S,SA.05,16,0.57211848,0.161290323,0.0625
1,S,SA.06,13,0.764155844,0.147058824,0.076923077
1,LV,LVA.06,14,0.584376449,0.123287671,0.071428571
1,S,SA.07,13,0.389718076,0.105263158,0.076923077
1,LV,LVA.07,13,0.752798507,0.166666667,0.076923077
1,LV,LVA.08,15,0.257438146,0.075757576,0.066666667
1,S,SB.08,12,0.805604824,0.171875,0.083333333
1,LV,LVA.09,14,0.512254242,0.132352941,0.071428571
1,S,SA.09,13,0.592928545,0.139240506,0.076923077
1,S,SA.10,14,0.320663265,0.142857143,0.071428571
1,LV,LVA.10,12,0.689301882,0.178082192,0.083333333
1,S,SA.11,14,0.59414025,0.121621622,0.071428571
1,LV,LVA.11,13,0.362266112,0.147058824,0.076923077
1,S,SA.12,14,0.312246806,0.125,0.071428571
1,LV,LVA.12,11,0.599515738,0.1875,0.090909091
1,S,SA.13,13,0.491285678,0.114285714,0.076923077
1,LV,LVA.13,13,0.061453509,0.108108108,0.076923077
1,S,SA.14,15,0.541710115,0.104477612,0.066666667
1,S,SA.15,13,0.697565543,0.225806452,0.076923077
1,LV,LVA.14,13,0.505114799,0.125,0.076923077
1,S,SA.16,13,0.569143551,0.146666667,0.076923077
1,LV,LVA.15,13,0.620305981,0.147368421,0.076923077
1,S,SA.17,14,0.787479407,0.169230769,0.071428571
1,LV,LVA.16,12,0.752729119,0.108108108,0.083333333
1,LV,LVA.17,13,0.773637516,0.142857143,0.076923077
1,LV,LVA.18,12,0.844031368,0.181818182,0.083333333
1,LV,LVA.19,13,0.494751101,0.114754098,0.076923077
1,S,SA.18,15,0.446239901,0.105263158,0.066666667
1,S,SA.19,15,0.528538373,0.051282051,0.066666667
