Treatment,Cricket,combo,MWeight ,MSize,Gtime,Gweight,Gsize,DevRate,TestAge,WeightAfter,PT_D1_Time,PT_D2_Time,Day,Trial,TOTAL.T,TOTAL.T4,LogTOTAL.T,Complete,TE_ALL,T_tcP,T_tcDS,T_tcCS,T_tcS,NumTrials
Calling,LV.06,RRLL,0.4108,34,19,0.450564972,0.096774194,0.052631579,14,0.4317,56286,100678,1,0,104971,99927,5.021069335,1,2,6,4,0,4,7
Calling,LV.07,LLRR,0.5854,40,13,0.380660377,0.111111111,0.076923077,12,0.8091,48197,240000,1,0,138067,135317,5.140089888,1,1,19,3,0,3,6
Calling,LV.08,LRLR,0.6811,41.5,15,0.536431311,0.152777778,0.066666667,12,0.8549,89697,35504,1,0,44054,38425,4.643985347,1,0,4,0,0,0,7
Calling,LV.15,LRLR,0.5791,38,14,0.709268005,0.117647059,0.071428571,11,0.6611,65164,69711,1,0,32299,28931,4.509189076,1,0,1,0,0,0,7
Calling,LV.15,LRLR,0.5791,38,14,0.709268005,0.117647059,0.071428571,11,0.6611,65164,69711,2,0,307539,307539,5.487900198,1,8,24,8,6,14,
Calling,LV.16,RRLL,0.4499,34,16,0.516857721,0.096774194,0.0625,11,0.6259,56111,240000,1,0,55812,52633,4.746727586,1,1,2,2,2,4,7
Calling,LV.26,RRLL,0.5783,39,12,0.626722925,0.147058824,0.083333333,14,0.7785,23595,240000,1,0,300000,300000,5.477121255,0,25,38,24,12,36,7
Calling,LV.27,LLRR,0.599,38,15,0.845348121,0.1875,0.066666667,14,0.525,68998,240000,1,0,300000,300000,5.477121255,0,15,44,1,1,2,3
Calling,LV.28,LRLR,0.614,41,14,0.600208496,0.138888889,0.071428571,14,0.566,58159,240000,1,0,20393,18505,4.309481119,1,0,1,0,0,0,7
Calling,LV.36,LLRR,0.5983,38,11,0.290273884,0.085714286,0.090909091,14,0.8348,61733,61036,1,0,79933,73082,4.902726113,1,1,16,1,0,1,7
