Cricket,Treatment,FIWeight,FISize,MWeight,MSize,Gtime,DevRate,Gweight,Gsize,Testage,Time,Trial,Complete,Time_0,Time_300,StartPosition,WeightAfter,WeightDiff,avgtime,Successes
LVA.02,Calling,0.3941,34,0.6314,39,15,0.066666667,0.602131439,0.147058824,2,10:10,0,No,0,300,0,0.6647,0.0333,,6
LVA.02,Calling,0.3941,34,0.6314,39,15,0.066666667,0.602131439,0.147058824,2,10:10,1,Yes,290,290,1,0.6647,0.0333,,
LVA.02,Calling,0.3941,34,0.6314,39,15,0.066666667,0.602131439,0.147058824,2,10:10,2,Yes,141,141,2,0.6647,0.0333,,
LVA.02,Calling,0.3941,34,0.6314,39,15,0.066666667,0.602131439,0.147058824,2,10:10,3,Yes,244,244,3,0.6647,0.0333,,
LVA.02,Calling,0.3941,34,0.6314,39,15,0.066666667,0.602131439,0.147058824,2,10:10,4,Yes,236,236,4,0.6647,0.0333,,
LVA.02,Calling,0.3941,34,0.6314,39,15,0.066666667,0.602131439,0.147058824,2,10:10,5,Yes,82,82,1,0.6647,0.0333,,
LVA.02,Calling,0.3941,34,0.6314,39,15,0.066666667,0.602131439,0.147058824,2,10:10,6,Yes,158,158,2,0.6647,0.0333,,
LVA.02,Calling,0.3941,34,0.6314,39,15,0.066666667,0.602131439,0.147058824,2,10:10,D2,Yes,210,210,2,0.6647,0.0333,207.2857143,
LVA.02,Calling,0.3941,34,0.6314,39,15,0.066666667,0.602131439,0.147058824,2,10:10,MT,Yes,292,292,1,0.6647,0.0333,207.2857143,
LVA.03,Calling,0.4051,36.5,0.5164,39,14,0.071428571,0.274746976,0.068493151,2,11:15,0,No,0,300,0,0.6167,0.1003,,3
LVA.03,Calling,0.4051,36.5,0.5164,39,14,0.071428571,0.274746976,0.068493151,2,11:15,1,Yes,275,275,4,0.6167,0.1003,,
LVA.03,Calling,0.4051,36.5,0.5164,39,14,0.071428571,0.274746976,0.068493151,2,11:15,2,Yes,276,276,1,0.6167,0.1003,,
LVA.03,Calling,0.4051,36.5,0.5164,39,14,0.071428571,0.274746976,0.068493151,2,11:15,3,No,0,300,2,0.6167,0.1003,,
LVA.03,Calling,0.4051,36.5,0.5164,39,14,0.071428571,0.274746976,0.068493151,2,11:15,4,No,0,300,3,0.6167,0.1003,,
LVA.03,Calling,0.4051,36.5,0.5164,39,14,0.071428571,0.274746976,0.068493151,2,11:15,5,No,0,300,4,0.6167,0.1003,,
LVA.03,Calling,0.4051,36.5,0.5164,39,14,0.071428571,0.274746976,0.068493151,2,11:15,6,Yes,273,273,4,0.6167,0.1003,,
LVA.03,Calling,0.4051,36.5,0.5164,39,14,0.071428571,0.274746976,0.068493151,2,11:15,D2,No,0,300,1,0.6167,0.1003,289.1428571,
LVA.03,Calling,0.4051,36.5,0.5164,39,14,0.071428571,0.274746976,0.068493151,2,11:15,MT,Yes,96,96,2,0.6167,0.1003,289.1428571,
LVA.04,Calling,0.4297,35,0.6703,41,14,0.071428571,0.559925529,0.171428571,1,14:30,0,No,0,300,0,0.6776,0.0073,,4
LVA.04,Calling,0.4297,35,0.6703,41,14,0.071428571,0.559925529,0.171428571,1,14:30,1,Yes,247,247,2,0.6776,0.0073,,
LVA.04,Calling,0.4297,35,0.6703,41,14,0.071428571,0.559925529,0.171428571,1,14:30,2,Yes,287,287,3,0.6776,0.0073,,
LVA.04,Calling,0.4297,35,0.6703,41,14,0.071428571,0.559925529,0.171428571,1,14:30,3,Yes,123,123,4,0.6776,0.0073,,
LVA.04,Calling,0.4297,35,0.6703,41,14,0.071428571,0.559925529,0.171428571,1,14:30,4,No,0,300,1,0.6776,0.0073,,
LVA.04,Calling,0.4297,35,0.6703,41,14,0.071428571,0.559925529,0.171428571,1,14:30,5,No,0,300,4,0.6776,0.0073,,
LVA.04,Calling,0.4297,35,0.6703,41,14,0.071428571,0.559925529,0.171428571,1,14:30,6,Yes,208,208,1,0.6776,0.0073,,
LVA.04,Calling,0.4297,35,0.6703,41,14,0.071428571,0.559925529,0.171428571,1,14:30,D2,No,0,300,2,0.6776,0.0073,252.1428571,
LVA.04,Calling,0.4297,35,0.6703,41,14,0.071428571,0.559925529,0.171428571,1,14:30,MT,Yes,243,243,3,0.6776,0.0073,252.1428571,
LVA.05,Calling,0.4068,36,0.5334,38.5,14,0.071428571,0.31120944,0.069444444,1,16:30,0,Yes,121,121,0,0.5334,0,,5
LVA.05,Calling,0.4068,36,0.5334,38.5,14,0.071428571,0.31120944,0.069444444,1,16:30,1,Yes,112,112,1,0.5334,0,,
LVA.05,Calling,0.4068,36,0.5334,38.5,14,0.071428571,0.31120944,0.069444444,1,16:30,2,Yes,118,118,2,0.5334,0,,
LVA.05,Calling,0.4068,36,0.5334,38.5,14,0.071428571,0.31120944,0.069444444,1,16:30,3,Yes,167,167,3,0.5334,0,,
LVA.05,Calling,0.4068,36,0.5334,38.5,14,0.071428571,0.31120944,0.069444444,1,16:30,4,Yes,163,163,4,0.5334,0,,
LVA.05,Calling,0.4068,36,0.5334,38.5,14,0.071428571,0.31120944,0.069444444,1,16:30,5,Yes,85,85,1,0.5334,0,,
LVA.05,Calling,0.4068,36,0.5334,38.5,14,0.071428571,0.31120944,0.069444444,1,16:30,6,No,0,300,1,0.5334,0,,
LVA.05,Calling,0.4068,36,0.5334,38.5,14,0.071428571,0.31120944,0.069444444,1,16:30,D2,No,0,300,2,0.5334,0,152.2857143,
LVA.05,Calling,0.4068,36,0.5334,38.5,14,0.071428571,0.31120944,0.069444444,1,16:30,MT,Yes,80,80,1,0.5334,0,152.2857143,
LVA.06,Calling,0.4314,36.5,0.6835,41,14,0.071428571,0.584376449,0.123287671,1,19:15,0,No,0,300,0,0.6944,0.0109,,1
LVA.06,Calling,0.4314,36.5,0.6835,41,14,0.071428571,0.584376449,0.123287671,1,19:15,1,No,0,300,.,0.6944,0.0109,,
LVA.06,Calling,0.4314,36.5,0.6835,41,14,0.071428571,0.584376449,0.123287671,1,19:15,2,No,0,300,.,0.6944,0.0109,,
LVA.06,Calling,0.4314,36.5,0.6835,41,14,0.071428571,0.584376449,0.123287671,1,19:15,3,Yes,98,98,.,0.6944,0.0109,,
LVA.06,Calling,0.4314,36.5,0.6835,41,14,0.071428571,0.584376449,0.123287671,1,19:15,4,No,0,300,.,0.6944,0.0109,,
LVA.06,Calling,0.4314,36.5,0.6835,41,14,0.071428571,0.584376449,0.123287671,1,19:15,5,No,0,300,.,0.6944,0.0109,,
LVA.06,Calling,0.4314,36.5,0.6835,41,14,0.071428571,0.584376449,0.123287671,1,19:15,6,No,0,300,1,0.6944,0.0109,,
LVA.06,Calling,0.4314,36.5,0.6835,41,14,0.071428571,0.584376449,0.123287671,1,19:15,D2,No,0,300,3,0.6944,0.0109,271.1428571,
LVA.06,Calling,0.4314,36.5,0.6835,41,14,0.071428571,0.584376449,0.123287671,1,19:15,MT,No,0,300,4,0.6944,0.0109,271.1428571,
LVA.07,Calling,0.3216,33,0.5637,38.5,13,0.076923077,0.752798507,0.166666667,1,21:20,0,Yes,123,123,0,0.5303,-0.0334,,4
LVA.07,Calling,0.3216,33,0.5637,38.5,13,0.076923077,0.752798507,0.166666667,1,21:20,1,No,0,300,1,0.5303,-0.0334,,
LVA.07,Calling,0.3216,33,0.5637,38.5,13,0.076923077,0.752798507,0.166666667,1,21:20,2,No,0,300,3,0.5303,-0.0334,,
LVA.07,Calling,0.3216,33,0.5637,38.5,13,0.076923077,0.752798507,0.166666667,1,21:20,3,Yes,116,116,4,0.5303,-0.0334,,
LVA.07,Calling,0.3216,33,0.5637,38.5,13,0.076923077,0.752798507,0.166666667,1,21:20,4,Yes,169,169,1,0.5303,-0.0334,,
LVA.07,Calling,0.3216,33,0.5637,38.5,13,0.076923077,0.752798507,0.166666667,1,21:20,5,Yes,138,138,2,0.5303,-0.0334,,
LVA.07,Calling,0.3216,33,0.5637,38.5,13,0.076923077,0.752798507,0.166666667,1,21:20,6,Yes,88,88,3,0.5303,-0.0334,,
LVA.07,Calling,0.3216,33,0.5637,38.5,13,0.076923077,0.752798507,0.166666667,1,21:20,D2,No,0,300,1,0.5303,-0.0334,176.2857143,
LVA.07,Calling,0.3216,33,0.5637,38.5,13,0.076923077,0.752798507,0.166666667,1,21:20,MT,Yes,224,224,2,0.5303,-0.0334,176.2857143,
LVA.08,Calling,0.3193,33,0.4015,35.5,15,0.066666667,0.257438146,0.075757576,2,13:35,0,Yes,140,140,0,0.4918,0.0903,,2
LVA.08,Calling,0.3193,33,0.4015,35.5,15,0.066666667,0.257438146,0.075757576,2,13:35,1,No,0,300,3,0.4918,0.0903,,
LVA.08,Calling,0.3193,33,0.4015,35.5,15,0.066666667,0.257438146,0.075757576,2,13:35,2,No,0,300,2,0.4918,0.0903,,
LVA.08,Calling,0.3193,33,0.4015,35.5,15,0.066666667,0.257438146,0.075757576,2,13:35,3,Yes,135,135,1,0.4918,0.0903,,
LVA.08,Calling,0.3193,33,0.4015,35.5,15,0.066666667,0.257438146,0.075757576,2,13:35,4,No,0,300,4,0.4918,0.0903,,
LVA.08,Calling,0.3193,33,0.4015,35.5,15,0.066666667,0.257438146,0.075757576,2,13:35,5,Yes,185,185,3,0.4918,0.0903,,
LVA.08,Calling,0.3193,33,0.4015,35.5,15,0.066666667,0.257438146,0.075757576,2,13:35,6,No,0,300,2,0.4918,0.0903,,
